New York,New York,2323232
Los Angeles,California,2222222
Chicago,Illinois,11111111
Houston,Texas,5555555
Philadelphia,Pennsylvania,2323232
Phoenix,Arizona,2222222
San Antonio,Texas,11111111
San Diego,California,5555555
Dallas,Texas,2323232
San Jose,California,2222222
Austin,Texas,11111111
Jacksonville,Florida,5555555
Indianapolis,Indiana,2323232
San Francisco,California,2222222
Columbus,Ohio,11111111
Fort Worth,Texas,5555555
Charlotte,North Carolina,2323232
Detroit,Michigan,2222222
El Paso,Texas,11111111
Memphis,Tennessee,5555555
Boston,Massachusetts,2323232
Seattle,Washington,2222222
Denver,Colorado,11111111
Washington,District of Columbia,5555555
Nashville,Tennessee,2323232
Baltimore,Maryland,2222222
Louisville,Kentucky,11111111
Portland,Oregon,5555555
Oklahoma City,Oklahoma,2323232
Milwaukee,Wisconsin,2222222
Las Vegas,Nevada,11111111
Albuquerque,New Mexico,5555555
Tucson,Arizona,2323232
Fresno,California,2222222
Sacramento,California,11111111
Long Beach,California,5555555
Kansas City,Missouri,2323232
Mesa,Arizona,2222222
Virginia Beach,Virginia,11111111
Atlanta,Georgia,5555555
Colorado Springs,Colorado,2323232
Raleigh,North Carolina,2222222
Omaha,Nebraska,11111111
Miami,Florida,5555555
Oakland,California,2323232
Tulsa,Oklahoma,2222222
Minneapolis,Minnesota,11111111
Cleveland,Ohio,5555555
Wichita,Kansas,2323232
Arlington,Texas,2222222
New Orleans,Louisiana,11111111
Bakersfield,California,5555555
Tampa,Florida,2323232
Honolulu,Hawai'i,2222222
Anaheim,California,11111111
Aurora,Colorado,5555555
Santa Ana,California,2323232
St. Louis,Missouri,2222222
Riverside,California,11111111
Corpus Christi,Texas,5555555
Pittsburgh,Pennsylvania,2323232
Lexington,Kentucky,2222222
Anchorage,Alaska,11111111
Stockton,California,5555555
Cincinnati,Ohio,2323232
Saint Paul,Minnesota,2222222
Toledo,Ohio,11111111
Newark,New Jersey,5555555
Greensboro,North Carolina,2323232
Plano,Texas,2222222
Henderson,Nevada,11111111
Lincoln,Nebraska,5555555
Buffalo,New York,2323232
Fort Wayne,Indiana,2222222
Jersey City,New Jersey,11111111
Chula Vista,California,5555555
Orlando,Florida,2323232
St. Petersburg,Florida,2222222
Norfolk,Virginia,11111111
Chandler,Arizona,5555555
Laredo,Texas,2323232
Madison,Wisconsin,2222222
Durham,North Carolina,11111111
Lubbock,Texas,5555555
Winston-Salem,North Carolina,2323232
Garland,Texas,2222222
Glendale,Arizona,11111111
Hialeah,Florida,5555555
Reno,Nevada,2323232
Baton Rouge,Louisiana,2222222
Irvine,California,11111111
Chesapeake,Virginia,5555555
Irving,Texas,2323232
Scottsdale,Arizona,2222222
North Las Vegas,Nevada,11111111
Fremont,California,5555555
Gilbert,Arizona,2323232
San Bernardino,California,2222222
Boise,Idaho,11111111
Birmingham,Alabama,5555555
Rochester,New York,2323232
Richmond,Virginia,2222222
Spokane,Washington,11111111
Des Moines,Iowa,5555555
Montgomery,Alabama,2323232
Modesto,California,2222222
Fayetteville,North Carolina,11111111
Tacoma,Washington,5555555
Shreveport,Louisiana,2323232
Fontana,California,2222222
Oxnard,California,11111111
Aurora,Illinois,5555555
Moreno Valley,California,2323232
Akron,Ohio,2222222
Yonkers,New York,11111111
Columbus,Georgia,5555555
Augusta,Georgia,2323232
Little Rock,Arkansas,2222222
Amarillo,Texas,11111111
Mobile,Alabama,5555555
Huntington Beach,California,2323232
Glendale,California,2222222
Grand Rapids,Michigan,11111111
Salt Lake City,Utah,5555555
Tallahassee,Florida,2323232
Huntsville,Alabama,2222222
Worcester,Massachusetts,11111111
Knoxville,Tennessee,5555555
Grand Prairie,Texas,2323232
Newport News,Virginia,2222222
Brownsville,Texas,11111111
Santa Clarita,California,5555555
Overland Park,Kansas,2323232
Providence,Rhode Island,2222222
Jackson,Mississippi,11111111
Garden Grove,California,5555555
Oceanside,California,2323232
Chattanooga,Tennessee,2222222
Fort Lauderdale,Florida,11111111
Rancho Cucamonga,California,5555555
Santa Rosa,California,2323232
Port St. Lucie,Florida,2222222
Ontario,California,11111111
Tempe,Arizona,5555555
Vancouver,Washington,2323232
Springfield,Missouri,2222222
Cape Coral,Florida,11111111
Pembroke Pines,Florida,5555555
Sioux Falls,South Dakota,2323232
Peoria,Arizona,2222222
Lancaster,California,11111111
Elk Grove,California,5555555
Corona,California,2323232
Eugene,Oregon,2222222
Salem,Oregon,11111111
Palmdale,California,5555555
Salinas,California,2323232
Springfield,Massachusetts,2222222
Pasadena,Texas,11111111
Rockford,Illinois,5555555
Pomona,California,2323232
Hayward,California,2222222
Fort Collins,Colorado,11111111
Joliet,Illinois,5555555
Escondido,California,2323232
Kansas City,Kansas,2222222
Torrance,California,11111111
Bridgeport,Connecticut,5555555
Alexandria,Virginia,2323232
Sunnyvale,California,2222222
Cary,North Carolina,11111111
Lakewood,Colorado,5555555
Hollywood,Florida,2323232
Paterson,New Jersey,2222222
Syracuse,New York,11111111
Naperville,Illinois,5555555
McKinney,Texas,2323232
Mesquite,Texas,2222222
Clarksville,Tennessee,11111111
Savannah,Georgia,5555555
Dayton,Ohio,2323232
Orange,California,2222222
Fullerton,California,11111111
Pasadena,California,5555555
Hampton,Virginia,2323232
McAllen,Texas,2222222
Killeen,Texas,11111111
Warren,Michigan,5555555
West Valley City,Utah,2323232
Columbia,South Carolina,2222222
New Haven,Connecticut,11111111
Sterling Heights,Michigan,5555555
Olathe,Kansas,2323232
Miramar,Florida,2222222
Thousand Oaks,California,11111111
Frisco,Texas,5555555
Cedar Rapids,Iowa,2323232
Topeka,Kansas,2222222
Visalia,California,11111111
Waco,Texas,5555555
Elizabeth,New Jersey,2323232
Bellevue,Washington,2222222
Gainesville,Florida,11111111
Simi Valley,California,5555555
Charleston,South Carolina,2323232
Carrollton,Texas,2222222
Coral Springs,Florida,11111111
Stamford,Connecticut,5555555
Hartford,Connecticut,2323232
Concord,California,2222222
Roseville,California,11111111
Thornton,Colorado,5555555
Kent,Washington,2323232
Lafayette,Louisiana,2222222
Surprise,Arizona,11111111
Denton,Texas,5555555
Victorville,California,2323232
Evansville,Indiana,2222222
Midland,Texas,11111111
Santa Clara,California,5555555
Athens,Georgia,2323232
Allentown,Pennsylvania,2222222
Abilene,Texas,11111111
Beaumont,Texas,5555555
Vallejo,California,2323232
Independence,Missouri,2222222
Springfield,Illinois,11111111
Ann Arbor,Michigan,5555555
Provo,Utah,2323232
Peoria,Illinois,2222222
Norman,Oklahoma,11111111
Berkeley,California,5555555
El Monte,California,2323232
Murfreesboro,Tennessee,2222222
Lansing,Michigan,11111111
Columbia,Missouri,5555555
Downey,California,2323232
Costa Mesa,California,2222222
Inglewood,California,11111111
Miami Gardens,Florida,5555555
Manchester,New Hampshire,2323232
Elgin,Illinois,2222222
Wilmington,North Carolina,11111111
Waterbury,Connecticut,5555555
Fargo,North Dakota,2323232
Arvada,Colorado,2222222
Carlsbad,California,11111111
Westminster,Colorado,5555555
Rochester,Minnesota,2323232
Gresham,Oregon,2222222
Clearwater,Florida,11111111
Lowell,Massachusetts,5555555
West Jordan,Utah,2323232
Pueblo,Colorado,2222222
San Buenaventura (Ventura),California,11111111
Fairfield,California,5555555
West Covina,California,2323232
Billings,Montana,2222222
Murrieta,California,11111111
High Point,North Carolina,5555555
Round Rock,Texas,2323232
Richmond,California,2222222
Cambridge,Massachusetts,11111111
Norwalk,California,5555555
Odessa,Texas,2323232
Antioch,California,2222222
Temecula,California,11111111
Green Bay,Wisconsin,5555555
Everett,Washington,2323232
Wichita Falls,Texas,2222222
Burbank,California,11111111
Palm Bay,Florida,5555555
Centennial,Colorado,2323232
Daly City,California,2222222
Richardson,Texas,11111111
Pompano Beach,Florida,5555555
Broken Arrow,Oklahoma,2323232
North Charleston,South Carolina,2222222
West Palm Beach,Florida,11111111
Boulder,Colorado,5555555
Rialto,California,2323232
Santa Maria,California,2222222
El Cajon,California,11111111
Davenport,Iowa,5555555
Erie,Pennsylvania,2323232
Las Cruces,New Mexico,2222222
South Bend,Indiana,11111111
Flint,Michigan,5555555
Kenosha,Wisconsin,